League,Season,Position,Team,Points,Matches Played,Points per Match,Wins,Draws,Losses
Premier League,2025,1,Liverpool,79,33,2.39,24,7,2
Premier League,2025,2,Arsenal,67,34,1.97,18,13,3
Premier League,2025,3,Newcastle Utd,62,34,1.82,19,5,10
Premier League,2025,4,Manchester City,61,34,1.79,18,7,9
Premier League,2025,5,Chelsea,60,34,1.76,17,9,8
Premier League,2025,6,Nott'ham Forest,60,33,1.82,18,6,9
Premier League,2025,7,Aston Villa,57,34,1.68,16,9,9
Premier League,2025,8,Fulham,51,34,1.5,14,9,11
Premier League,2025,9,Brighton,51,34,1.5,13,12,9
Premier League,2025,10,Bournemouth,49,33,1.48,13,10,10
Premier League,2025,11,Brentford,46,33,1.39,13,7,13
Premier League,2025,12,Crystal Palace,45,34,1.32,11,12,11
Premier League,2025,13,Wolves,41,34,1.21,12,5,17
Premier League,2025,14,Everton,38,34,1.12,8,14,12
Premier League,2025,15,Manchester Utd,38,33,1.15,10,8,15
Premier League,2025,16,Tottenham,37,33,1.12,11,4,18
Premier League,2025,17,West Ham,36,34,1.06,9,9,16
Premier League,2025,18,Ipswich Town,21,34,0.62,4,9,21
Premier League,2025,19,Leicester City,18,34,0.53,4,6,24
Premier League,2025,20,Southampton,11,34,0.32,2,5,27
Premier League,2024,1,Manchester City,91,38,2.39,28,7,3
Premier League,2024,2,Arsenal,89,38,2.34,28,5,5
Premier League,2024,3,Liverpool,82,38,2.16,24,10,4
Premier League,2024,4,Aston Villa,68,38,1.79,20,8,10
Premier League,2024,5,Tottenham,66,38,1.74,20,6,12
Premier League,2024,6,Chelsea,63,38,1.66,18,9,11
Premier League,2024,7,Newcastle Utd,60,38,1.58,18,6,14
Premier League,2024,8,Manchester Utd,60,38,1.58,18,6,14
Premier League,2024,9,West Ham,52,38,1.37,14,10,14
Premier League,2024,10,Crystal Palace,49,38,1.29,13,10,15
Premier League,2024,11,Brighton,48,38,1.26,12,12,14
Premier League,2024,12,Bournemouth,48,38,1.26,13,9,16
Premier League,2024,13,Fulham,47,38,1.24,13,8,17
Premier League,2024,14,Wolves,46,38,1.21,13,7,18
Premier League,2024,15,Everton,42,38,1.11,13,9,16
Premier League,2024,16,Brentford,39,38,1.03,10,9,19
Premier League,2024,17,Nott'ham Forest,32,38,0.84,9,9,20
Premier League,2024,18,Luton Town,26,38,0.68,6,8,24
Premier League,2024,19,Burnley,24,38,0.63,5,9,24
Premier League,2024,20,Sheffield Utd,16,38,0.42,3,7,28
Premier League,2023,1,Manchester City,89,38,2.34,28,5,5
Premier League,2023,2,Arsenal,84,38,2.21,26,6,6
Premier League,2023,3,Manchester Utd,75,38,1.97,23,6,9
Premier League,2023,4,Newcastle Utd,71,38,1.87,19,14,5
Premier League,2023,5,Liverpool,67,38,1.76,19,10,9
Premier League,2023,6,Brighton,62,38,1.63,18,8,12
Premier League,2023,7,Aston Villa,61,38,1.61,18,7,13
Premier League,2023,8,Tottenham,60,38,1.58,18,6,14
Premier League,2023,9,Brentford,59,38,1.55,15,14,9
Premier League,2023,10,Fulham,52,38,1.37,15,7,16
Premier League,2023,11,Crystal Palace,45,38,1.18,11,12,15
Premier League,2023,12,Chelsea,44,38,1.16,11,11,16
Premier League,2023,13,Wolves,41,38,1.08,11,8,19
Premier League,2023,14,West Ham,40,38,1.05,11,7,20
Premier League,2023,15,Bournemouth,39,38,1.03,11,6,21
Premier League,2023,16,Nott'ham Forest,38,38,1.0,9,11,18
Premier League,2023,17,Everton,36,38,0.95,8,12,18
Premier League,2023,18,Leicester City,34,38,0.89,9,7,22
Premier League,2023,19,Leeds United,31,38,0.82,7,10,21
Premier League,2023,20,Southampton,25,38,0.66,6,7,25
Premier League,2022,1,Manchester City,93,38,2.45,29,6,3
Premier League,2022,2,Liverpool,92,38,2.42,28,8,2
Premier League,2022,3,Chelsea,74,38,1.95,21,11,6
Premier League,2022,4,Tottenham,71,38,1.87,22,5,11
Premier League,2022,5,Arsenal,69,38,1.82,22,3,13
Premier League,2022,6,Manchester Utd,58,38,1.53,16,10,12
Premier League,2022,7,West Ham,56,38,1.47,16,8,14
Premier League,2022,8,Leicester City,52,38,1.37,14,10,14
Premier League,2022,9,Brighton,51,38,1.34,12,15,11
Premier League,2022,10,Wolves,51,38,1.34,15,6,17
Premier League,2022,11,Newcastle Utd,49,38,1.29,13,10,15
Premier League,2022,12,Crystal Palace,48,38,1.26,11,15,12
Premier League,2022,13,Brentford,46,38,1.21,13,7,18
Premier League,2022,14,Aston Villa,45,38,1.18,13,6,19
Premier League,2022,15,Southampton,40,38,1.05,9,13,16
Premier League,2022,16,Everton,39,38,1.03,11,6,21
Premier League,2022,17,Leeds United,38,38,1.0,9,11,18
Premier League,2022,18,Burnley,35,38,0.92,7,14,17
Premier League,2022,19,Watford,23,38,0.61,6,5,27
Premier League,2022,20,Norwich City,22,38,0.58,5,7,26
Premier League,2021,1,Manchester City,86,38,2.26,27,5,6
Premier League,2021,2,Manchester Utd,74,38,1.95,21,11,6
Premier League,2021,3,Liverpool,69,38,1.82,20,9,9
Premier League,2021,4,Chelsea,67,38,1.76,19,10,9
Premier League,2021,5,Leicester City,66,38,1.74,20,6,12
Premier League,2021,6,West Ham,65,38,1.71,19,8,11
Premier League,2021,7,Tottenham,62,38,1.63,18,8,12
Premier League,2021,8,Arsenal,61,38,1.61,18,7,13
Premier League,2021,9,Leeds United,59,38,1.55,18,5,15
Premier League,2021,10,Everton,59,38,1.55,17,8,13
Premier League,2021,11,Aston Villa,55,38,1.45,16,7,15
Premier League,2021,12,Newcastle Utd,45,38,1.18,12,9,17
Premier League,2021,13,Wolves,45,38,1.18,12,9,17
Premier League,2021,14,Crystal Palace,44,38,1.16,12,8,18
Premier League,2021,15,Southampton,43,38,1.13,12,7,19
Premier League,2021,16,Brighton,41,38,1.08,9,14,15
Premier League,2021,17,Burnley,39,38,1.03,10,9,19
Premier League,2021,18,Fulham,28,38,0.74,5,13,20
Premier League,2021,19,West Brom,26,38,0.68,5,11,22
Premier League,2021,20,Sheffield Utd,23,38,0.61,7,2,29
Premier League,2020,1,Liverpool,99,38,2.61,32,3,3
Premier League,2020,2,Manchester City,81,38,2.13,26,3,9
Premier League,2020,3,Manchester Utd,66,38,1.74,18,12,8
Premier League,2020,4,Chelsea,66,38,1.74,20,6,12
Premier League,2020,5,Leicester City,62,38,1.63,18,8,12
Premier League,2020,6,Tottenham,59,38,1.55,16,11,11
Premier League,2020,7,Wolves,59,38,1.55,15,14,9
Premier League,2020,8,Arsenal,56,38,1.47,14,14,10
Premier League,2020,9,Sheffield Utd,54,38,1.42,14,12,12
Premier League,2020,10,Burnley,54,38,1.42,15,9,14
Premier League,2020,11,Southampton,52,38,1.37,15,7,16
Premier League,2020,12,Everton,49,38,1.29,13,10,15
Premier League,2020,13,Newcastle Utd,44,38,1.16,11,11,16
Premier League,2020,14,Crystal Palace,43,38,1.13,11,10,17
Premier League,2020,15,Brighton,41,38,1.08,9,14,15
Premier League,2020,16,West Ham,39,38,1.03,10,9,19
Premier League,2020,17,Aston Villa,35,38,0.92,9,8,21
Premier League,2020,18,Bournemouth,34,38,0.89,9,7,22
Premier League,2020,19,Watford,34,38,0.89,8,10,20
Premier League,2020,20,Norwich City,21,38,0.55,5,6,27
Premier League,2019,1,Manchester City,98,38,2.58,32,2,4
Premier League,2019,2,Liverpool,97,38,2.55,30,7,1
Premier League,2019,3,Chelsea,72,38,1.89,21,9,8
Premier League,2019,4,Tottenham,71,38,1.87,23,2,13
Premier League,2019,5,Arsenal,70,38,1.84,21,7,10
Premier League,2019,6,Manchester Utd,66,38,1.74,19,9,10
Premier League,2019,7,Wolves,57,38,1.5,16,9,13
Premier League,2019,8,Everton,54,38,1.42,15,9,14
Premier League,2019,9,Leicester City,52,38,1.37,15,7,16
Premier League,2019,10,West Ham,52,38,1.37,15,7,16
Premier League,2019,11,Watford,50,38,1.32,14,8,16
Premier League,2019,12,Crystal Palace,49,38,1.29,14,7,17
Premier League,2019,13,Newcastle Utd,45,38,1.18,12,9,17
Premier League,2019,14,Bournemouth,45,38,1.18,13,6,19
Premier League,2019,15,Burnley,40,38,1.05,11,7,20
Premier League,2019,16,Southampton,39,38,1.03,9,12,17
Premier League,2019,17,Brighton,36,38,0.95,9,9,20
Premier League,2019,18,Cardiff City,34,38,0.89,10,4,24
Premier League,2019,19,Fulham,26,38,0.68,7,5,26
Premier League,2019,20,Huddersfield,16,38,0.42,3,7,28
Premier League,2018,1,Manchester City,100,38,2.63,32,4,2
Premier League,2018,2,Manchester Utd,81,38,2.13,25,6,7
Premier League,2018,3,Tottenham,77,38,2.03,23,8,7
Premier League,2018,4,Liverpool,75,38,1.97,21,12,5
Premier League,2018,5,Chelsea,70,38,1.84,21,7,10
Premier League,2018,6,Arsenal,63,38,1.66,19,6,13
Premier League,2018,7,Burnley,54,38,1.42,14,12,12
Premier League,2018,8,Everton,49,38,1.29,13,10,15
Premier League,2018,9,Leicester City,47,38,1.24,12,11,15
Premier League,2018,10,Newcastle Utd,44,38,1.16,12,8,18
Premier League,2018,11,Crystal Palace,44,38,1.16,11,11,16
Premier League,2018,12,Bournemouth,44,38,1.16,11,11,16
Premier League,2018,13,West Ham,42,38,1.11,10,12,16
Premier League,2018,14,Watford,41,38,1.08,11,8,19
Premier League,2018,15,Brighton,40,38,1.05,9,13,16
Premier League,2018,16,Huddersfield,37,38,0.97,9,10,19
Premier League,2018,17,Southampton,36,38,0.95,7,15,16
Premier League,2018,18,Swansea City,33,38,0.87,8,9,21
Premier League,2018,19,Stoke City,33,38,0.87,7,12,19
Premier League,2018,20,West Brom,31,38,0.82,6,13,19
Premier League,2017,1,Chelsea,93,38,2.45,30,3,5
Premier League,2017,2,Tottenham,86,38,2.26,26,8,4
Premier League,2017,3,Manchester City,78,38,2.05,23,9,6
Premier League,2017,4,Liverpool,76,38,2.0,22,10,6
Premier League,2017,5,Arsenal,75,38,1.97,23,6,9
Premier League,2017,6,Manchester Utd,69,38,1.82,18,15,5
Premier League,2017,7,Everton,61,38,1.61,17,10,11
Premier League,2017,8,Southampton,46,38,1.21,12,10,16
Premier League,2017,9,Bournemouth,46,38,1.21,12,10,16
Premier League,2017,10,West Brom,45,38,1.18,12,9,17
Premier League,2017,11,West Ham,45,38,1.18,12,9,17
Premier League,2017,12,Leicester City,44,38,1.16,12,8,18
Premier League,2017,13,Stoke City,44,38,1.16,11,11,16
Premier League,2017,14,Crystal Palace,41,38,1.08,12,5,21
Premier League,2017,15,Swansea City,41,38,1.08,12,5,21
Premier League,2017,16,Burnley,40,38,1.05,11,7,20
Premier League,2017,17,Watford,40,38,1.05,11,7,20
Premier League,2017,18,Hull City,34,38,0.89,9,7,22
Premier League,2017,19,Middlesbrough,28,38,0.74,5,13,20
Premier League,2017,20,Sunderland,24,38,0.63,6,6,26
Premier League,2016,1,Leicester City,81,38,2.13,23,12,3
Premier League,2016,2,Arsenal,71,38,1.87,20,11,7
Premier League,2016,3,Tottenham,70,38,1.84,19,13,6
Premier League,2016,4,Manchester City,66,38,1.74,19,9,10
Premier League,2016,5,Manchester Utd,66,38,1.74,19,9,10
Premier League,2016,6,Southampton,63,38,1.66,18,9,11
Premier League,2016,7,West Ham,62,38,1.63,16,14,8
Premier League,2016,8,Liverpool,60,38,1.58,16,12,10
Premier League,2016,9,Stoke City,51,38,1.34,14,9,15
Premier League,2016,10,Chelsea,50,38,1.32,12,14,12
Premier League,2016,11,Everton,47,38,1.24,11,14,13
Premier League,2016,12,Swansea City,47,38,1.24,12,11,15
Premier League,2016,13,Watford,45,38,1.18,12,9,17
Premier League,2016,14,West Brom,43,38,1.13,10,13,15
Premier League,2016,15,Crystal Palace,42,38,1.11,11,9,18
Premier League,2016,16,Bournemouth,42,38,1.11,11,9,18
Premier League,2016,17,Sunderland,39,38,1.03,9,12,17
Premier League,2016,18,Newcastle Utd,37,38,0.97,9,10,19
Premier League,2016,19,Norwich City,34,38,0.89,9,7,22
Premier League,2016,20,Aston Villa,17,38,0.45,3,8,27
Premier League,2015,1,Chelsea,87,38,2.29,26,9,3
Premier League,2015,2,Manchester City,79,38,2.08,24,7,7
Premier League,2015,3,Arsenal,75,38,1.97,22,9,7
Premier League,2015,4,Manchester Utd,70,38,1.84,20,10,8
Premier League,2015,5,Tottenham,64,38,1.68,19,7,12
Premier League,2015,6,Liverpool,62,38,1.63,18,8,12
Premier League,2015,7,Southampton,60,38,1.58,18,6,14
Premier League,2015,8,Swansea City,56,38,1.47,16,8,14
Premier League,2015,9,Stoke City,54,38,1.42,15,9,14
Premier League,2015,10,Crystal Palace,48,38,1.26,13,9,16
Premier League,2015,11,Everton,47,38,1.24,12,11,15
Premier League,2015,12,West Ham,47,38,1.24,12,11,15
Premier League,2015,13,West Brom,44,38,1.16,11,11,16
Premier League,2015,14,Leicester City,41,38,1.08,11,8,19
Premier League,2015,15,Newcastle Utd,39,38,1.03,10,9,19
Premier League,2015,16,Sunderland,38,38,1.0,7,17,14
Premier League,2015,17,Aston Villa,38,38,1.0,10,8,20
Premier League,2015,18,Hull City,35,38,0.92,8,11,19
Premier League,2015,19,Burnley,33,38,0.87,7,12,19
Premier League,2015,20,QPR,30,38,0.79,8,6,24
Premier League,2014,1,Manchester City,86,38,2.26,27,5,6
Premier League,2014,2,Liverpool,84,38,2.21,26,6,6
Premier League,2014,3,Chelsea,82,38,2.16,25,7,6
Premier League,2014,4,Arsenal,79,38,2.08,24,7,7
Premier League,2014,5,Everton,72,38,1.89,21,9,8
Premier League,2014,6,Tottenham,69,38,1.82,21,6,11
Premier League,2014,7,Manchester Utd,64,38,1.68,19,7,12
Premier League,2014,8,Southampton,56,38,1.47,15,11,12
Premier League,2014,9,Stoke City,50,38,1.32,13,11,14
Premier League,2014,10,Newcastle Utd,49,38,1.29,15,4,19
Premier League,2014,11,Crystal Palace,45,38,1.18,13,6,19
Premier League,2014,12,Swansea City,42,38,1.11,11,9,18
Premier League,2014,13,West Ham,40,38,1.05,11,7,20
Premier League,2014,14,Sunderland,38,38,1.0,10,8,20
Premier League,2014,15,Aston Villa,38,38,1.0,10,8,20
Premier League,2014,16,Hull City,37,38,0.97,10,7,21
Premier League,2014,17,West Brom,36,38,0.95,7,15,16
Premier League,2014,18,Norwich City,33,38,0.87,8,9,21
Premier League,2014,19,Fulham,32,38,0.84,9,5,24
Premier League,2014,20,Cardiff City,30,38,0.79,7,9,22
Premier League,2013,1,Manchester Utd,89,38,2.34,28,5,5
Premier League,2013,2,Manchester City,78,38,2.05,23,9,6
Premier League,2013,3,Chelsea,75,38,1.97,22,9,7
Premier League,2013,4,Arsenal,73,38,1.92,21,10,7
Premier League,2013,5,Tottenham,72,38,1.89,21,9,8
Premier League,2013,6,Everton,63,38,1.66,16,15,7
Premier League,2013,7,Liverpool,61,38,1.61,16,13,9
Premier League,2013,8,West Brom,49,38,1.29,14,7,17
Premier League,2013,9,Swansea City,46,38,1.21,11,13,14
Premier League,2013,10,West Ham,46,38,1.21,12,10,16
Premier League,2013,11,Norwich City,44,38,1.16,10,14,14
Premier League,2013,12,Fulham,43,38,1.13,11,10,17
Premier League,2013,13,Stoke City,42,38,1.11,9,15,14
Premier League,2013,14,Southampton,41,38,1.08,9,14,15
Premier League,2013,15,Aston Villa,41,38,1.08,10,11,17
Premier League,2013,16,Newcastle Utd,41,38,1.08,11,8,19
Premier League,2013,17,Sunderland,39,38,1.03,9,12,17
Premier League,2013,18,Wigan Athletic,36,38,0.95,9,9,20
Premier League,2013,19,Reading,28,38,0.74,6,10,22
Premier League,2013,20,QPR,25,38,0.66,4,13,21
Premier League,2012,1,Manchester City,89,38,2.34,28,5,5
Premier League,2012,2,Manchester Utd,89,38,2.34,28,5,5
Premier League,2012,3,Arsenal,70,38,1.84,21,7,10
Premier League,2012,4,Tottenham,69,38,1.82,20,9,9
Premier League,2012,5,Newcastle Utd,65,38,1.71,19,8,11
Premier League,2012,6,Chelsea,64,38,1.68,18,10,10
Premier League,2012,7,Everton,56,38,1.47,15,11,12
Premier League,2012,8,Liverpool,52,38,1.37,14,10,14
Premier League,2012,9,Fulham,52,38,1.37,14,10,14
Premier League,2012,10,West Brom,47,38,1.24,13,8,17
Premier League,2012,11,Swansea City,47,38,1.24,12,11,15
Premier League,2012,12,Norwich City,47,38,1.24,12,11,15
Premier League,2012,13,Sunderland,45,38,1.18,11,12,15
Premier League,2012,14,Stoke City,45,38,1.18,11,12,15
Premier League,2012,15,Wigan Athletic,43,38,1.13,11,10,17
Premier League,2012,16,Aston Villa,38,38,1.0,7,17,14
Premier League,2012,17,QPR,37,38,0.97,10,7,21
Premier League,2012,18,Bolton,36,38,0.95,10,6,22
Premier League,2012,19,Blackburn,31,38,0.82,8,7,23
Premier League,2012,20,Wolves,25,38,0.66,5,10,23
Premier League,2011,1,Manchester Utd,80,38,2.11,23,11,4
Premier League,2011,2,Chelsea,71,38,1.87,21,8,9
Premier League,2011,3,Manchester City,71,38,1.87,21,8,9
Premier League,2011,4,Arsenal,68,38,1.79,19,11,8
Premier League,2011,5,Tottenham,62,38,1.63,16,14,8
Premier League,2011,6,Liverpool,58,38,1.53,17,7,14
Premier League,2011,7,Everton,54,38,1.42,13,15,10
Premier League,2011,8,Fulham,49,38,1.29,11,16,11
Premier League,2011,9,Aston Villa,48,38,1.26,12,12,14
Premier League,2011,10,Sunderland,47,38,1.24,12,11,15
Premier League,2011,11,West Brom,47,38,1.24,12,11,15
Premier League,2011,12,Newcastle Utd,46,38,1.21,11,13,14
Premier League,2011,13,Stoke City,46,38,1.21,13,7,18
Premier League,2011,14,Bolton,46,38,1.21,12,10,16
Premier League,2011,15,Blackburn,43,38,1.13,11,10,17
Premier League,2011,16,Wigan Athletic,42,38,1.11,9,15,14
Premier League,2011,17,Wolves,40,38,1.05,11,7,20
Premier League,2011,18,Birmingham City,39,38,1.03,8,15,15
Premier League,2011,19,Blackpool,39,38,1.03,10,9,19
Premier League,2011,20,West Ham,33,38,0.87,7,12,19
La Liga,2025,1,Barcelona,76,33,2.3,24,4,5
La Liga,2025,2,Real Madrid,72,33,2.18,22,6,5
La Liga,2025,3,Atlético Madrid,66,33,2.0,19,9,5
La Liga,2025,4,Athletic Club,60,33,1.82,16,12,5
La Liga,2025,5,Betis,54,33,1.64,15,9,9
La Liga,2025,6,Villarreal,52,32,1.63,14,10,8
La Liga,2025,7,Celta Vigo,46,33,1.39,13,7,13
La Liga,2025,8,Osasuna,44,33,1.33,10,14,9
La Liga,2025,9,Mallorca,44,33,1.33,12,8,13
La Liga,2025,10,Real Sociedad,42,33,1.27,12,6,15
La Liga,2025,11,Rayo Vallecano,41,33,1.24,10,11,12
La Liga,2025,12,Getafe,39,33,1.18,10,9,14
La Liga,2025,13,Espanyol,39,32,1.22,10,9,13
La Liga,2025,14,Valencia,39,33,1.18,9,12,12
La Liga,2025,15,Sevilla,37,33,1.12,9,10,14
La Liga,2025,16,Girona,35,33,1.06,9,8,16
La Liga,2025,17,Alavés,34,33,1.03,8,10,15
La Liga,2025,18,Las Palmas,32,33,0.97,8,8,17
La Liga,2025,19,Leganés,30,33,0.91,6,12,15
La Liga,2025,20,Valladolid,16,33,0.48,4,4,25
La Liga,2024,1,Real Madrid,95,38,2.5,29,8,1
La Liga,2024,2,Barcelona,85,38,2.24,26,7,5
La Liga,2024,3,Girona,81,38,2.13,25,6,7
La Liga,2024,4,Atlético Madrid,76,38,2.0,24,4,10
La Liga,2024,5,Athletic Club,68,38,1.79,19,11,8
La Liga,2024,6,Real Sociedad,60,38,1.58,16,12,10
La Liga,2024,7,Betis,57,38,1.5,14,15,9
La Liga,2024,8,Villarreal,53,38,1.39,14,11,13
La Liga,2024,9,Valencia,49,38,1.29,13,10,15
La Liga,2024,10,Alavés,46,38,1.21,12,10,16
La Liga,2024,11,Osasuna,45,38,1.18,12,9,17
La Liga,2024,12,Getafe,43,38,1.13,10,13,15
La Liga,2024,13,Celta Vigo,41,38,1.08,10,11,17
La Liga,2024,14,Sevilla,41,38,1.08,10,11,17
La Liga,2024,15,Mallorca,40,38,1.05,8,16,14
La Liga,2024,16,Las Palmas,40,38,1.05,10,10,18
La Liga,2024,17,Rayo Vallecano,38,38,1.0,8,14,16
La Liga,2024,18,Cádiz,33,38,0.87,6,15,17
La Liga,2024,19,Almería,21,38,0.55,3,12,23
La Liga,2024,20,Granada,21,38,0.55,4,9,25
La Liga,2023,1,Barcelona,88,38,2.32,28,4,6
La Liga,2023,2,Real Madrid,78,38,2.05,24,6,8
La Liga,2023,3,Atlético Madrid,77,38,2.03,23,8,7
La Liga,2023,4,Real Sociedad,71,38,1.87,21,8,9
La Liga,2023,5,Villarreal,64,38,1.68,19,7,12
La Liga,2023,6,Betis,60,38,1.58,17,9,12
La Liga,2023,7,Osasuna,53,38,1.39,15,8,15
La Liga,2023,8,Athletic Club,51,38,1.34,14,9,15
La Liga,2023,9,Mallorca,50,38,1.32,14,8,16
La Liga,2023,10,Girona,49,38,1.29,13,10,15
La Liga,2023,11,Rayo Vallecano,49,38,1.29,13,10,15
La Liga,2023,12,Sevilla,49,38,1.29,13,10,15
La Liga,2023,13,Celta Vigo,43,38,1.13,11,10,17
La Liga,2023,14,Cádiz,42,38,1.11,10,12,16
La Liga,2023,15,Getafe,42,38,1.11,10,12,16
La Liga,2023,16,Valencia,42,38,1.11,11,9,18
La Liga,2023,17,Almería,41,38,1.08,11,8,19
La Liga,2023,18,Valladolid,40,38,1.05,11,7,20
La Liga,2023,19,Espanyol,37,38,0.97,8,13,17
La Liga,2023,20,Elche,25,38,0.66,5,10,23
La Liga,2022,1,Real Madrid,86,38,2.26,26,8,4
La Liga,2022,2,Barcelona,73,38,1.92,21,10,7
La Liga,2022,3,Atlético Madrid,71,38,1.87,21,8,9
La Liga,2022,4,Sevilla,70,38,1.84,18,16,4
La Liga,2022,5,Betis,65,38,1.71,19,8,11
La Liga,2022,6,Real Sociedad,62,38,1.63,17,11,10
La Liga,2022,7,Villarreal,59,38,1.55,16,11,11
La Liga,2022,8,Athletic Club,55,38,1.45,14,13,11
La Liga,2022,9,Valencia,48,38,1.26,11,15,12
La Liga,2022,10,Osasuna,47,38,1.24,12,11,15
La Liga,2022,11,Celta Vigo,46,38,1.21,12,10,16
La Liga,2022,12,Rayo Vallecano,42,38,1.11,11,9,18
La Liga,2022,13,Elche,42,38,1.11,11,9,18
La Liga,2022,14,Espanyol,42,38,1.11,10,12,16
La Liga,2022,15,Getafe,39,38,1.03,8,15,15
La Liga,2022,16,Mallorca,39,38,1.03,10,9,19
La Liga,2022,17,Cádiz,39,38,1.03,8,15,15
La Liga,2022,18,Granada,38,38,1.0,8,14,16
La Liga,2022,19,Levante,35,38,0.92,8,11,19
La Liga,2022,20,Alavés,31,38,0.82,8,7,23
La Liga,2021,1,Atlético Madrid,86,38,2.26,26,8,4
La Liga,2021,2,Real Madrid,84,38,2.21,25,9,4
La Liga,2021,3,Barcelona,79,38,2.08,24,7,7
La Liga,2021,4,Sevilla,77,38,2.03,24,5,9
La Liga,2021,5,Real Sociedad,62,38,1.63,17,11,10
La Liga,2021,6,Betis,61,38,1.61,17,10,11
La Liga,2021,7,Villarreal,58,38,1.53,15,13,10
La Liga,2021,8,Celta Vigo,53,38,1.39,14,11,13
La Liga,2021,9,Granada,46,38,1.21,13,7,18
La Liga,2021,10,Athletic Club,46,38,1.21,11,13,14
La Liga,2021,11,Osasuna,44,38,1.16,11,11,16
La Liga,2021,12,Cádiz,44,38,1.16,11,11,16
La Liga,2021,13,Valencia,43,38,1.13,10,13,15
La Liga,2021,14,Levante,41,38,1.08,9,14,15
La Liga,2021,15,Getafe,38,38,1.0,9,11,18
La Liga,2021,16,Alavés,38,38,1.0,9,11,18
La Liga,2021,17,Elche,36,38,0.95,8,12,18
La Liga,2021,18,Huesca,34,38,0.89,7,13,18
La Liga,2021,19,Valladolid,31,38,0.82,5,16,17
La Liga,2021,20,Eibar,30,38,0.79,6,12,20
La Liga,2020,1,Real Madrid,87,38,2.29,26,9,3
La Liga,2020,2,Barcelona,82,38,2.16,25,7,6
La Liga,2020,3,Atlético Madrid,70,38,1.84,18,16,4
La Liga,2020,4,Sevilla,70,38,1.84,19,13,6
La Liga,2020,5,Villarreal,60,38,1.58,18,6,14
La Liga,2020,6,Real Sociedad,56,38,1.47,16,8,14
La Liga,2020,7,Granada,56,38,1.47,16,8,14
La Liga,2020,8,Getafe,54,38,1.42,14,12,12
La Liga,2020,9,Valencia,53,38,1.39,14,11,13
La Liga,2020,10,Osasuna,52,38,1.37,13,13,12
La Liga,2020,11,Athletic Club,51,38,1.34,13,12,13
La Liga,2020,12,Levante,49,38,1.29,14,7,17
La Liga,2020,13,Valladolid,42,38,1.11,9,15,14
La Liga,2020,14,Eibar,42,38,1.11,11,9,18
La Liga,2020,15,Betis,41,38,1.08,10,11,17
La Liga,2020,16,Alavés,39,38,1.03,10,9,19
La Liga,2020,17,Celta Vigo,37,38,0.97,7,16,15
La Liga,2020,18,Leganés,36,38,0.95,8,12,18
La Liga,2020,19,Mallorca,33,38,0.87,9,6,23
La Liga,2020,20,Espanyol,25,38,0.66,5,10,23
La Liga,2019,1,Barcelona,87,38,2.29,26,9,3
La Liga,2019,2,Atlético Madrid,76,38,2.0,22,10,6
La Liga,2019,3,Real Madrid,68,38,1.79,21,5,12
La Liga,2019,4,Valencia,61,38,1.61,15,16,7
La Liga,2019,5,Getafe,59,38,1.55,15,14,9
La Liga,2019,6,Sevilla,59,38,1.55,17,8,13
La Liga,2019,7,Espanyol,53,38,1.39,14,11,13
La Liga,2019,8,Athletic Club,53,38,1.39,13,14,11
La Liga,2019,9,Real Sociedad,50,38,1.32,13,11,14
La Liga,2019,10,Betis,50,38,1.32,14,8,16
La Liga,2019,11,Alavés,50,38,1.32,13,11,14
La Liga,2019,12,Eibar,47,38,1.24,11,14,13
La Liga,2019,13,Leganés,45,38,1.18,11,12,15
La Liga,2019,14,Villarreal,44,38,1.16,10,14,14
La Liga,2019,15,Levante,44,38,1.16,11,11,16
La Liga,2019,16,Valladolid,41,38,1.08,10,11,17
La Liga,2019,17,Celta Vigo,41,38,1.08,10,11,17
La Liga,2019,18,Girona,37,38,0.97,9,10,19
La Liga,2019,19,Huesca,33,38,0.87,7,12,19
La Liga,2019,20,Rayo Vallecano,32,38,0.84,8,8,22
La Liga,2018,1,Barcelona,93,38,2.45,28,9,1
La Liga,2018,2,Atlético Madrid,79,38,2.08,23,10,5
La Liga,2018,3,Real Madrid,76,38,2.0,22,10,6
La Liga,2018,4,Valencia,73,38,1.92,22,7,9
La Liga,2018,5,Villarreal,61,38,1.61,18,7,13
La Liga,2018,6,Betis,60,38,1.58,18,6,14
La Liga,2018,7,Sevilla,58,38,1.53,17,7,14
La Liga,2018,8,Getafe,55,38,1.45,15,10,13
La Liga,2018,9,Eibar,51,38,1.34,14,9,15
La Liga,2018,10,Girona,51,38,1.34,14,9,15
La Liga,2018,11,Espanyol,49,38,1.29,12,13,13
La Liga,2018,12,Real Sociedad,49,38,1.29,14,7,17
La Liga,2018,13,Celta Vigo,49,38,1.29,13,10,15
La Liga,2018,14,Alavés,47,38,1.24,15,2,21
La Liga,2018,15,Levante,46,38,1.21,11,13,14
La Liga,2018,16,Athletic Club,43,38,1.13,10,13,15
La Liga,2018,17,Leganés,43,38,1.13,12,7,19
La Liga,2018,18,La Coruña,29,38,0.76,6,11,21
La Liga,2018,19,Las Palmas,22,38,0.58,5,7,26
La Liga,2018,20,Málaga,20,38,0.53,5,5,28
La Liga,2017,1,Real Madrid,93,38,2.45,29,6,3
La Liga,2017,2,Barcelona,90,38,2.37,28,6,4
La Liga,2017,3,Atlético Madrid,78,38,2.05,23,9,6
La Liga,2017,4,Sevilla,72,38,1.89,21,9,8
